Alteration_Year,BBL,BIN,borough,Comfort Station,CNSTRCT_YR,DESCRIPTION,DOITT_ID,DOITT_Source,Demolition_Year,GISPROPNUM,GROUNDELEV,HEIGHTROOF,LOCATION,MaintBy,MaintBySpec,OMPPROPID,Parks_District,SYSTEM,multipolygon,Recreation_Center,FeatureStatus
,4038660070,4558623,QN,FALSE,1931,Forest Park Golf Course Building,1035848,current,,Q015,146,12.49,,,,Q015,Q-16,Q015-BLG0170,"MULTIPOLYGON (((-73.86548428405008 40.69815698545991, -73.86562708348704 40.69817597029528, -73.86566391164794 40.69801550578445, -73.86552111254416 40.69799652099439, -73.86548428405008 40.69815698545991)))",FALSE,Active
,4038660070,4558625,QN,FALSE,1931,Forest Park-Zone 13-Golf Course Utility Building,1033189,current,,Q015,97,19.75291982,,,,Q015,Q-16,Q015-BLG0168,"MULTIPOLYGON (((-73.86690612130879 40.701751146426794, -73.86682468771907 40.70176892111183, -73.86684473076923 40.70181928297274, -73.86685863270633 40.70185486751357, -73.8669394544922 40.70183657970551, -73.8669271982958 40.701805205174004, -73.86690612130879 40.701751146426794)))",FALSE,Active
,4135380007,4539796,QN,FALSE,,Brookville Park-Building,1066891,,,Q008,,,,,,Q008-ZN01,Q-13,Q008-BLG0160,"MULTIPOLYGON (((-73.74024661038982 40.664836436151845, -73.74042718769805 40.66490195675168, -73.74044531732903 40.664872986508875, -73.74026473890235 40.66480746503409, -73.74024661038982 40.664836436151845)))",FALSE,Removed
,4161590012,4592110,QN,FALSE,1958,Bayside Playground-Building,277465,current,,Q389,7,8.73047424,Beach Channel Drive @ Seaside Ave,,,Q389,Q-14,Q389-BLG0001,"MULTIPOLYGON (((-73.82502114813158 40.58454994067015, -73.82505250378688 40.584610277692825, -73.82506762652072 40.58460570984, -73.82510803339727 40.58459350439617, -73.82509880649845 40.58457574819958, -73.82507667888085 40.58453316739035, -73.82502114813158 40.58454994067015)))",FALSE,Active
,2059000001,,BX,FALSE,,Van Cortlandt Park-Gas Station SB-Fuel Pumps,,,,X092,,,,,,X092,X-13,X092-BLG0942,"MULTIPOLYGON (((-73.88255622807802 40.89478774102194, -73.88239764929254 40.894953900994, -73.88246865371885 40.894993424463344, -73.88262892978052 40.894828382722416, -73.88255622807802 40.89478774102194)))",FALSE,Active
,2059000001,2117803,BX,FALSE,1943,Van Cortlandt Park-Gas Station SB-Convenience Store,550476,current,,X092,177,22.49,,,,X092-ZN22,X-13,X092-ZN22-BLG0971,"MULTIPOLYGON (((-73.88252428421846 40.8950117150131, -73.88257309241591 40.895038769321786, -73.8825849775605 40.89502642315271, -73.8826082116579 40.89500228676547, -73.88263351321048 40.895016311434645, -73.88270286228817 40.89494427287016, -73.88267756074994 40.89493024731548, -73.8827141255363 40.89489226418617, -73.88266531857575 40.89486520993761, -73.88254721754731 40.8949878917008, -73.88252428421846 40.8950117150131)))",FALSE,Active
,2059000001,2123993,BX,FALSE,1943,Van Cortlandt Park-Gas Station NB-Convenience Store,198189,current,,X092,182,19.51,,,,X092,X-13,X092-BLG0974,"MULTIPOLYGON (((-73.88136629474955 40.89509305934482, -73.8813882086762 40.89510541580849, -73.88135174997397 40.89514264582061, -73.88140470620638 40.89517250629557, -73.88154620973006 40.895028006650406, -73.88149325354921 40.89499814623949, -73.88145480719874 40.89503740663941, -73.88143289446886 40.89502505018941, -73.88136629474955 40.89509305934482)))",FALSE,Active
,3050510001,3347260,BK,FALSE,1964,Prospect Park-West Parade Grounds-Bowling Green,1159077,current,,B068,49,14.63,,,,B073-ZN27,B-14,B073-ZN27-BLG1165,"MULTIPOLYGON (((-73.97111175275417 40.64867622642206, -73.97116602821835 40.64874894874203, -73.9712544919968 40.64871064665477, -73.97120021646771 40.64863792347572, -73.97111175275417 40.64867622642206)))",FALSE,Active
,3050510001,3256655,BK,FALSE,1964,Prospect Park-West Parade Grounds-Parade Ground,786417,current,,B068,53,39,,,,B073-ZN27,B-14,B073-ZN27-BLG1164,"MULTIPOLYGON (((-73.97104538333205 40.64991727883088, -73.97102267285608 40.64992615221445, -73.97113951004178 40.65009961497271, -73.97114559771471 40.65009723733277, -73.9713384672323 40.650021876218425, -73.9712215800392 40.649848340706434, -73.97119538588517 40.6498585757355, -73.97117084350205 40.649822140047775, -73.97106619100025 40.6496667663774, -73.97096686544987 40.64951930049851, -73.97088914174596 40.64954967061963, -73.97080013407157 40.64941752230917, -73.97079458550401 40.64940928386556, -73.97069097523512 40.64944976819419, -73.97073251029276 40.64951143361109, -73.97071256938548 40.64951922521639, -73.9707880021277 40.64963121656185, -73.97083922558681 40.64961120204942, -73.97091291111633 40.64972060207959, -73.97088282290356 40.64973235882794, -73.9709181586597 40.64978481931632, -73.97094824688992 40.6497730625588, -73.97104538333205 40.64991727883088)))",FALSE,Active
,3011170001,3347225,BK,FALSE,1931,"Prospect Park-The Zoo, Lefferts Homestead, Carousel-Carousel",390381,current,,B073,90,35.37,,,,B073-ZN11,B-19,B073-ZN11-BLG1249,"MULTIPOLYGON (((-73.96411086543998 40.663679718397646, -73.96409125015909 40.66376090281436, -73.96415234653928 40.66382715393322, -73.96425969212589 40.6638387805798, -73.96434491631818 40.66379320578883, -73.96436345552944 40.66371354016665, -73.96430211202917 40.66364702162909, -73.96419807090665 40.663633085325735, -73.96411086543998 40.663679718397646)))",FALSE,Active
